time,value
2013-04-02 16:20:00+00:00,1.046
2013-04-02 16:25:00+00:00,1.027
2013-04-02 16:30:00+00:00,1.051
2013-04-02 16:35:00+00:00,1.039
2013-04-02 16:40:00+00:00,1.003
2013-04-02 16:45:00+00:00,1.036
2013-04-02 16:50:00+00:00,1.018
2013-04-02 16:55:00+00:00,1.028
2013-04-02 17:00:00+00:00,0.979
2013-04-02 17:05:00+00:00,0.974
2013-04-02 17:10:00+00:00,1.003
2013-04-02 17:15:00+00:00,1.002
2013-04-02 17:20:00+00:00,1.022
2013-04-02 17:25:00+00:00,1.113
2013-04-02 17:30:00+00:00,1.063
2013-04-02 17:35:00+00:00,1.067
2013-04-02 17:40:00+00:00,1.049
2013-04-02 17:45:00+00:00,1.046
2013-04-02 17:50:00+00:00,1.004
2013-04-02 17:55:00+00:00,0.947
2013-04-02 18:00:00+00:00,0.996
2013-04-02 18:05:00+00:00,0.969
2013-04-02 18:10:00+00:00,1.004
2013-04-02 18:15:00+00:00,1.02
2013-04-02 18:20:00+00:00,0.998
2013-04-02 18:25:00+00:00,1.085
2013-04-02 18:30:00+00:00,1.01
2013-04-02 18:35:00+00:00,1.051
2013-04-02 18:40:00+00:00,1.043
2013-04-02 18:45:00+00:00,1.005
2013-04-02 18:50:00+00:00,1.089
2013-04-02 18:55:00+00:00,1.049
2013-04-02 19:00:00+00:00,1.074
2013-04-02 19:05:00+00:00,1.11
2013-04-02 19:10:00+00:00,1.087
2013-04-02 19:15:00+00:00,1.092
2013-04-02 19:20:00+00:00,1.077
2013-04-02 19:25:00+00:00,1.076
2013-04-02 19:30:00+00:00,1.04
2013-04-02 19:35:00+00:00,1.143
2013-04-02 19:40:00+00:00,1.065
2013-04-02 19:45:00+00:00,1.068
2013-04-02 19:50:00+00:00,1.042
2013-04-02 19:55:00+00:00,1.106
2013-04-02 20:00:00+00:00,1.066
2013-04-02 20:05:00+00:00,1.043
2013-04-02 20:10:00+00:00,1.046
2013-04-02 20:15:00+00:00,1.091
2013-04-02 20:20:00+00:00,1.102
2013-04-02 20:25:00+00:00,1.039
2013-04-02 20:30:00+00:00,1.139
2013-04-02 20:35:00+00:00,1.115
2013-04-02 20:40:00+00:00,1.065
2013-04-02 20:45:00+00:00,1.093
2013-04-02 20:50:00+00:00,1.095
2013-04-02 20:55:00+00:00,0.933
2013-04-02 21:00:00+00:00,1.054
2013-04-02 21:05:00+00:00,1.031
2013-04-02 21:10:00+00:00,1.085
2013-04-02 21:15:00+00:00,1.073
2013-04-02 21:20:00+00:00,1.046
2013-04-02 21:25:00+00:00,1.09
2013-04-02 21:30:00+00:00,0.958
2013-04-02 21:35:00+00:00,1.023
2013-04-02 21:40:00+00:00,1.024
2013-04-02 21:45:00+00:00,1.063
2013-04-02 21:50:00+00:00,1.025
2013-04-02 21:55:00+00:00,1.107
2013-04-02 22:00:00+00:00,1.055
2013-04-02 22:05:00+00:00,1.076
2013-04-02 22:10:00+00:00,1.075
2013-04-02 22:15:00+00:00,1.087
2013-04-02 22:20:00+00:00,1.029
2013-04-02 22:25:00+00:00,1.058
2013-04-02 22:30:00+00:00,0.956
2013-04-02 22:35:00+00:00,1.018
2013-04-02 22:40:00+00:00,1.023
2013-04-02 22:45:00+00:00,1.004
2013-04-02 22:50:00+00:00,1.008
2013-04-02 22:55:00+00:00,1.072
2013-04-02 23:00:00+00:00,0.952
2013-04-02 23:05:00+00:00,1.06
2013-04-02 23:10:00+00:00,1.039
2013-04-02 23:15:00+00:00,1.018
2013-04-02 23:20:00+00:00,1.009
2013-04-02 23:25:00+00:00,1.027
2013-04-02 23:30:00+00:00,1.022
2013-04-02 23:35:00+00:00,0.99
2013-04-02 23:40:00+00:00,0.933
2013-04-02 23:45:00+00:00,0.974
2013-04-02 23:50:00+00:00,1.027
2013-04-02 23:55:00+00:00,1.065
2013-04-03 00:00:00+00:00,0.974
2013-04-03 00:05:00+00:00,0.958
2013-04-03 00:10:00+00:00,0.95
2013-04-03 00:15:00+00:00,0.967
2013-04-03 00:20:00+00:00,1.045
2013-04-03 00:25:00+00:00,1.032
2013-04-03 00:30:00+00:00,1.034
2013-04-03 00:35:00+00:00,0.994
2013-04-03 00:40:00+00:00,1.044
2013-04-03 00:45:00+00:00,1.015
2013-04-03 00:50:00+00:00,0.991
2013-04-03 00:55:00+00:00,1.019
2013-04-03 01:00:00+00:00,0.945
2013-04-03 01:05:00+00:00,0.918
2013-04-03 01:10:00+00:00,0.908
2013-04-03 01:15:00+00:00,0.939
2013-04-03 01:20:00+00:00,0.935
2013-04-03 01:25:00+00:00,0.933
2013-04-03 01:30:00+00:00,0.86
2013-04-03 01:35:00+00:00,0.901
2013-04-03 01:40:00+00:00,0.904
2013-04-03 01:45:00+00:00,0.936
2013-04-03 01:50:00+00:00,0.902
2013-04-03 01:55:00+00:00,0.853
2013-04-03 02:00:00+00:00,0.388
2013-04-03 02:05:00+00:00,0.298
2013-04-03 02:10:00+00:00,0.295285
2013-04-03 02:15:00+00:00,0.917
2013-04-03 02:20:00+00:00,0.984
2013-04-03 02:25:00+00:00,1.022
2013-04-03 02:30:00+00:00,1.004
2013-04-03 02:35:00+00:00,0.961
2013-04-03 02:40:00+00:00,0.959
2013-04-03 02:45:00+00:00,0.949
2013-04-03 02:50:00+00:00,0.933
2013-04-03 02:55:00+00:00,0.949
2013-04-03 03:00:00+00:00,0.9
2013-04-03 03:05:00+00:00,0.603
2013-04-03 03:10:00+00:00,0.460305
2013-04-03 03:15:00+00:00,0.317
2013-04-03 03:20:00+00:00,0.397
2013-04-03 03:25:00+00:00,0.372
2013-04-03 03:30:00+00:00,0.958
2013-04-03 03:35:00+00:00,0.979
2013-04-03 03:40:00+00:00,0.947
2013-04-03 03:45:00+00:00,0.939
2013-04-03 03:50:00+00:00,0.929
2013-04-03 03:55:00+00:00,0.914
2013-04-03 04:00:00+00:00,0.679
2013-04-03 04:05:00+00:00,0.356
2013-04-03 04:10:00+00:00,0.33
2013-04-03 04:15:00+00:00,0.307042
2013-04-03 04:20:00+00:00,0.283
2013-04-03 04:25:00+00:00,0.83
2013-04-03 04:30:00+00:00,0.996
2013-04-03 04:35:00+00:00,0.95
2013-04-03 04:40:00+00:00,0.947
2013-04-03 04:45:00+00:00,0.912
2013-04-03 04:50:00+00:00,0.908
2013-04-03 04:55:00+00:00,0.899
2013-04-03 05:00:00+00:00,0.871
2013-04-03 05:05:00+00:00,0.858
2013-04-03 05:10:00+00:00,0.868
2013-04-03 05:15:00+00:00,0.877
2013-04-03 05:20:00+00:00,0.909
2013-04-03 05:25:00+00:00,0.923
2013-04-03 05:30:00+00:00,0.882
2013-04-03 05:35:00+00:00,0.752
2013-04-03 05:40:00+00:00,0.369
2013-04-03 05:45:00+00:00,0.324
2013-04-03 05:50:00+00:00,0.302311
2013-04-03 05:55:00+00:00,0.937
2013-04-03 06:00:00+00:00,1.013
2013-04-03 06:05:00+00:00,1.037
2013-04-03 06:10:00+00:00,1.02
2013-04-03 06:15:00+00:00,0.985
2013-04-03 06:20:00+00:00,0.954
2013-04-03 06:25:00+00:00,0.962
2013-04-03 06:30:00+00:00,0.952
2013-04-03 06:35:00+00:00,0.928
2013-04-03 06:40:00+00:00,0.896
2013-04-03 06:45:00+00:00,0.945
2013-04-03 06:50:00+00:00,0.952
2013-04-03 06:55:00+00:00,0.95
2013-04-03 07:00:00+00:00,0.91
2013-04-03 07:05:00+00:00,0.938
2013-04-03 07:10:00+00:00,1.013
2013-04-03 07:15:00+00:00,0.962
2013-04-03 07:20:00+00:00,0.986
2013-04-03 07:25:00+00:00,1.038
2013-04-03 07:30:00+00:00,0.969
2013-04-03 07:35:00+00:00,1.036
2013-04-03 07:40:00+00:00,1.052
2013-04-03 07:45:00+00:00,0.998
2013-04-03 07:50:00+00:00,1.06
2013-04-03 07:55:00+00:00,1.072
2013-04-03 08:00:00+00:00,1.064
2013-04-03 08:05:00+00:00,1.1
2013-04-03 08:10:00+00:00,1.111
2013-04-03 08:15:00+00:00,1.081
2013-04-03 08:20:00+00:00,1.066
2013-04-03 08:25:00+00:00,1.048
2013-04-03 08:30:00+00:00,1.013
2013-04-03 08:35:00+00:00,1.048
2013-04-03 08:40:00+00:00,1.004
2013-04-03 08:45:00+00:00,1.001
2013-04-03 08:50:00+00:00,1.005
2013-04-03 08:55:00+00:00,1.018
2013-04-03 09:00:00+00:00,1.052
2013-04-03 09:05:00+00:00,1.129
2013-04-03 09:10:00+00:00,1.04
2013-04-03 09:15:00+00:00,1.054
2013-04-03 09:20:00+00:00,1.068
2013-04-03 09:25:00+00:00,1.001
2013-04-03 09:30:00+00:00,1.014
2013-04-03 09:35:00+00:00,1.083
2013-04-03 09:40:00+00:00,1.033
2013-04-03 09:45:00+00:00,1.081
2013-04-03 09:50:00+00:00,0.956
2013-04-03 09:55:00+00:00,1.087
2013-04-03 10:00:00+00:00,1.052
2013-04-03 10:05:00+00:00,1.056
2013-04-03 10:10:00+00:00,1.067
2013-04-03 10:15:00+00:00,1.056
2013-04-03 10:20:00+00:00,1.105
2013-04-03 10:25:00+00:00,1.078
2013-04-03 10:30:00+00:00,1.08
2013-04-03 10:35:00+00:00,1.082
2013-04-03 10:40:00+00:00,1.092
2013-04-03 10:45:00+00:00,1.085
2013-04-03 10:50:00+00:00,1.09
2013-04-03 10:55:00+00:00,1.046
2013-04-03 11:00:00+00:00,1.038
2013-04-03 11:05:00+00:00,1.08
2013-04-03 11:10:00+00:00,1.086
2013-04-03 11:15:00+00:00,1.077
2013-04-03 11:20:00+00:00,1.099
2013-04-03 11:25:00+00:00,1.035
2013-04-03 11:30:00+00:00,1.062
2013-04-03 11:35:00+00:00,1.032
2013-04-03 11:40:00+00:00,1.019
2013-04-03 11:45:00+00:00,1.046
2013-04-03 11:50:00+00:00,1.048
2013-04-03 11:55:00+00:00,1.035
2013-04-03 12:00:00+00:00,1.029
2013-04-03 12:05:00+00:00,0.994
2013-04-03 12:10:00+00:00,1.008
2013-04-03 12:15:00+00:00,1.008
2013-04-03 12:20:00+00:00,1.046
2013-04-03 12:25:00+00:00,1.045
2013-04-03 12:30:00+00:00,1.077
2013-04-03 12:35:00+00:00,1.017
2013-04-03 12:40:00+00:00,1.059
2013-04-03 12:45:00+00:00,1.0
2013-04-03 12:50:00+00:00,1.114
2013-04-03 12:55:00+00:00,1.099
2013-04-03 13:00:00+00:00,1.045
2013-04-03 13:05:00+00:00,1.038
2013-04-03 13:10:00+00:00,1.016
2013-04-03 13:15:00+00:00,1.076
2013-04-03 13:20:00+00:00,1.07
2013-04-03 13:25:00+00:00,1.033
2013-04-03 13:30:00+00:00,1.029
2013-04-03 13:35:00+00:00,1.027
2013-04-03 13:40:00+00:00,0.989
2013-04-03 13:45:00+00:00,1.04
2013-04-03 13:50:00+00:00,1.095
2013-04-03 13:55:00+00:00,1.099
2013-04-03 14:00:00+00:00,1.043
2013-04-03 14:05:00+00:00,1.026
2013-04-03 14:10:00+00:00,1.04
2013-04-03 14:15:00+00:00,1.028
2013-04-03 14:20:00+00:00,1.086
2013-04-03 14:25:00+00:00,1.117
2013-04-03 14:30:00+00:00,1.096
2013-04-03 14:35:00+00:00,1.084
2013-04-03 14:40:00+00:00,1.075
2013-04-03 14:45:00+00:00,1.036
2013-04-03 14:50:00+00:00,0.96
2013-04-03 14:55:00+00:00,0.957
2013-04-03 15:00:00+00:00,1.051
2013-04-03 15:05:00+00:00,1.065
2013-04-03 15:10:00+00:00,1.036
2013-04-03 15:15:00+00:00,1.028
2013-04-03 15:20:00+00:00,1.033
2013-04-03 15:25:00+00:00,1.03
2013-04-03 15:30:00+00:00,1.012
2013-04-03 15:35:00+00:00,1.026
2013-04-03 15:40:00+00:00,1.008
2013-04-03 15:45:00+00:00,1.033
2013-04-03 15:50:00+00:00,1.015
2013-04-03 15:55:00+00:00,1.0
2013-04-03 16:00:00+00:00,0.999
2013-04-03 16:05:00+00:00,1.066
2013-04-03 16:10:00+00:00,1.037
2013-04-03 16:15:00+00:00,0.977
2013-04-03 16:20:00+00:00,1.006
2013-04-03 16:25:00+00:00,1.053
2013-04-03 16:30:00+00:00,1.054
2013-04-03 16:35:00+00:00,1.06
2013-04-03 16:40:00+00:00,1.068
2013-04-03 16:45:00+00:00,1.055
2013-04-03 16:50:00+00:00,1.026
2013-04-03 16:55:00+00:00,1.059
2013-04-03 17:00:00+00:00,1.016
2013-04-03 17:05:00+00:00,1.014
2013-04-03 17:10:00+00:00,1.059
2013-04-03 17:15:00+00:00,1.068
2013-04-03 17:20:00+00:00,1.075
2013-04-03 17:25:00+00:00,1.017
2013-04-03 17:30:00+00:00,1.052
2013-04-03 17:35:00+00:00,1.071
2013-04-03 17:40:00+00:00,1.069
2013-04-03 17:45:00+00:00,1.157
2013-04-03 17:50:00+00:00,1.043
2013-04-03 17:55:00+00:00,1.093
2013-04-03 18:00:00+00:00,1.059
2013-04-03 18:05:00+00:00,1.055
2013-04-03 18:10:00+00:00,1.058
2013-04-03 18:15:00+00:00,1.106
2013-04-03 18:20:00+00:00,1.111
